# MAG-FI RAW MAPPING DATA
# Mapper: Shanteshwar
# Building: 1
# Floor: 3
# Exported: 20260523_084454
# Total rows: 150

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779506006429,32,13.65,18.48,46.7,17.95,19.32,-0.45,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506006514,32,13.65,18.48,47.4,17.71,19.53,-0.52,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506006847,33,14.11,19.03,50.0,17.07,20.40,-1.39,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506007266,34,14.57,19.59,50.5,14.90,18.22,-2.45,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506007515,34,14.57,19.59,53.9,14.06,19.99,-3.54,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506007866,35,14.92,20.22,60.8,13.72,24.63,-4.95,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506008350,36,15.33,20.81,55.0,12.93,17.82,-3.45,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506008516,36,15.33,20.81,53.1,12.06,16.19,-3.74,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506008802,37,15.77,21.38,52.4,14.27,18.69,-2.49,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506009370,38,16.24,21.93,49.8,16.39,18.90,-0.57,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506009520,38,16.24,21.93,47.6,16.53,17.95,0.16,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506010155,39,16.73,22.45,46.7,17.49,18.77,-0.20,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506010524,39,16.73,22.45,47.0,18.13,19.25,0.97,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
