# MAG-FI RAW MAPPING DATA
# Mapper: Shant
# Building: 1
# Floor: 3
# Exported: 20260521_173715
# Total rows: 100

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779365210687,28,19.81,-3.66,350.6,54.22,-8.84,-23.59,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365210688,28,19.81,-3.66,350.7,54.15,-8.74,-23.67,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365211139,29,20.52,-3.77,351.6,54.17,-8.01,-25.00,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365211496,30,21.23,-3.89,349.8,54.17,-10.34,-24.85,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365211690,30,21.23,-3.89,347.8,53.85,-11.93,-24.26,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365212578,31,21.93,-4.04,348.0,54.74,-11.57,-23.02,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365212694,31,21.93,-4.04,348.0,55.03,-11.78,-22.43,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365213697,31,21.93,-4.04,343.6,49.86,-14.41,-19.56,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365214448,32,22.62,-4.26,342.3,53.16,-17.16,-18.09,"{"VIT_Staff": -56; "VIT_TPO": -55; "VIT_Staff": -56; "VIT_STUDENT": -60; "VIT_STUDENT": -60}"
1779365214699,32,22.62,-4.26,342.8,54.55,-16.64,-18.97,"{"VIT_VIP": -60; "VIT_VIP": -60; "VIT_Staff": -57; "VIT_TPO": -60; "VIT_TPO": -60}"
1779365215700,32,22.62,-4.26,344.1,58.53,-16.97,-17.55,"{"VIT_VIP": -60; "VIT_VIP": -60; "VIT_Staff": -57; "VIT_TPO": -60; "VIT_TPO": -60}"
1779365216485,33,23.32,-4.40,348.7,58.27,-11.58,-19.53,"{"VIT_VIP": -60; "VIT_VIP": -60; "VIT_Staff": -57; "VIT_TPO": -60; "VIT_TPO": -60}"
1779365216704,33,23.32,-4.40,347.7,57.35,-12.78,-20.99,"{"VIT_VIP": -60; "VIT_VIP": -60; "VIT_Staff": -57; "VIT_TPO": -60; "VIT_TPO": -60}"
1779365216870,34,24.02,-4.56,347.1,57.27,-13.23,-20.62,"{"VIT_VIP": -60; "VIT_VIP": -60; "VIT_Staff": -57; "VIT_TPO": -60; "VIT_TPO": -60}"
1779365217707,34,24.02,-4.56,347.0,56.92,-13.28,-22.58,"{"VIT_VIP": -60; "VIT_VIP": -60; "VIT_Staff": -57; "VIT_TPO": -60; "VIT_TPO": -60}"
1779365218223,35,24.72,-4.75,344.8,57.64,-15.92,-22.53,"{"VIT_VIP": -60; "VIT_VIP": -60; "VIT_Staff": -57; "VIT_TPO": -60; "VIT_TPO": -60}"
1779365218708,35,24.72,-4.75,345.5,58.72,-14.74,-24.68,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365219393,36,25.42,-4.92,346.3,60.09,-15.26,-22.82,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365219711,36,25.42,-4.92,346.4,58.72,-13.67,-24.72,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365219776,37,26.12,-5.09,347.0,58.51,-13.14,-25.04,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365220127,38,26.82,-5.24,347.7,57.10,-12.26,-26.44,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365220713,38,26.82,-5.24,346.2,55.96,-14.00,-25.28,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
1779365221566,39,27.53,-5.38,348.6,56.03,-11.55,-26.63,"{"VIT_TPO": -60; "VIT_Staff": -58; "VIT_VIP": -60; "VIT_Staff": -58; "VIT_STUDENT": -57}"
